"Mining of Massive Datasets","http://www.mmds.org/"
"A Programmer’s Guide to Data Mining","http://guidetodatamining.com/"
"Data Mining with Rattle and R","http://mineriaddatos.wikispaces.com/file/view/Data+Mining+With+Rattle+and+R_+The+Art+of+Excavating+Data+for+Knowledge+Discovery+-+Graham+Williams.pdf"
"Data Mining and Analysis: Fundamental Concepts and Algorithms","http://www.dataminingbook.info/pmwiki.php/Main/BookDownload"
"Probabilistic Programming & Bayesian Methods for Hackers","http://camdavidsonpilon.github.io/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers/"
"Data Mining Techniques For Marketing, Sales, and Customer Relationship Management","http://www.huaat.com/download/2009091Marketing.pdf"
"Inductive Logic Programming: Techniques and Applications","http://www-ai.ijs.si/SasoDzeroski/ILPBook/ILPbook.pdf"
"Pattern Recognition and Machine Learning","http://www.rmki.kfki.hu/~banmi/elte/Bishop%20-%20Pattern%20Recognition%20and%20Machine%20Learning.pdf"
"Machine Learning, Neural and Statistical Classification","http://www1.maths.leeds.ac.uk/~charles/statlog/"
"Information Theory, Inference, and Learning Algorithms","http://www.inference.phy.cam.ac.uk/mackay/itprnn/book.html"
"Data Mining and Business Analytics with R","http://www.nataraz.in/data/ebook/hadoop/Data_Mining_and_Business_Analytics_with_R__Johannes_Ledolter.pdf"
"Bayesian Reasoning and Machine Learning","http://web4.cs.ucl.ac.uk/staff/D.Barber/textbook/240415.pdf"
"Gaussian Processes for Machine Learning","http://www.gaussianprocess.org/gpml/chapters/RW.pdf"
"Reinforcement Learning: An Introduction","http://people.inf.elte.hu/lorincz/Files/RL_2006/SuttonBook.pdf"
"Algorithms for Reinforcement Learning","http://www.ualberta.ca/~szepesva/papers/RLAlgsInMDPs.pdf"
"Big Data, Data Mining, and Machine Learning","http://pdf.th7.cn/down/files/1411/Big%20Data,%20Data%20Mining,%20and%20Machine%20Learning.pdf"
"Modeling With Data","http://modelingwithdata.org/about_the_book.html"
"KB – Neural Data Mining with Python Sources","http://www.freeopen.org/wp-content/uploads/2013/10/KB_neural_data_mining.pdf"
"Deep Learning","http://www.iro.umontreal.ca/~bengioy/dlbook/"
"Neural Networks and Deep Learning","http://neuralnetworksanddeeplearning.com/"
"Data Mining Algorithms In R","https://en.wikibooks.org/wiki/Data_Mining_Algorithms_In_R"
"Data Mining and Analysis: Fundamental Concepts and Algorithms","http://www.cs.rpi.edu/~zaki/PaperDir/DMABOOK.pdf"
"Theory and Applications for Advanced Text Mining","http://www.intechopen.com/books/theory-and-applications-for-advanced-text-mining"
"Think Stats: Exploratory Data Analysis in Python","http://greenteapress.com/thinkstats2/thinkstats2.pdf"
"Think Bayes: Bayesian Statistics Made Simple","http://greenteapress.com/thinkbayes/"
"The Elements of Statistical Learning: Data Mining, Inference, and Prediction","http://web.stanford.edu/~hastie/local.ftp/Springer/OLD/ESLII_print4.pdf"
"An Introduction to Statistical Learning with Applications in R","http://www-bcf.usc.edu/~gareth/ISL/ISLR%20Fourth%20Printing.pdf"
"A First Course in Design and Analysis of Experiments","http://users.stat.umn.edu/~gary/book/fcdae.pdf"
"D3 Tips and Tricks","https://leanpub.com/D3-Tips-and-Tricks"
"Interactive Data Visualization for the Web","http://chimera.labs.oreilly.com/books/1230000000345/index.html"
"Real-Time Big Data Analytics: Emerging Architecture","http://www.pentaho.com/assets/pdf/CqPxTROXtCpfoLrUi4Bj.pdf"
"Big Data Now: 2012 Edition","http://cdn.oreillystatic.com/oreilly/radarreport/0636920028307/Big_Data_Now_2012_Edition.pdf"
"Natural Language Processing with Python","http://www.nltk.org/book_1ed/"
"Computer Vision","http://szeliski.org/Book/"
"Concise Computer Vision","http://cvrs.whu.edu.cn/downloads/ebooks/Concise%20Computer%20Vision%20-%20An%20Introduction%20into%20Therory%20and%20Algorithm.pdf"
"Artificial Intelligence A Modern Approach, 1st Edition","http://www.cin.ufpe.br/~tfl2/artificial-intelligence-modern-approach.9780131038059.25368.pdf"
